C�DIGO;CATEGORIA;DESCRI��O;UNIDADE;CENTRO DE CUSTO
445479;Suco;SUCO CAJU PO C/ADIC ACUC C/CONS 250G;PC;34809
445480;Suco;SUCO MORANGO PO C/ADIC ACUC C/CONS 250G;PC;34809
445481;Suco;SUCO UVA PO C/ADIC ACUC C/CONS 250G;PC;34809
438204;Suco;SUCO CONC CAJU;PC;34809
445482;Suco;SUCO TANGERINA PO C/ADIC ACUC C/CONS 250G;PC;34809
445483;Suco;SUCO GOIABA PO C/ADIC ACUC C/CONS 250G;PC;34809
445484;Suco;SUCO GUARANA PO C/ADIC ACUC C/CONS 250G;PC;34809
445485;Suco;SUCO LIMÃO PO C/ADIC ACUC C/CONS 250G;PC;34809
445490;Suco;SUCO ABACAXI PO C/ADIC ACUC C/CONS 250G;PC;34809
445491;Suco;SUCO MARACUJA PO C/ADIC ACUC C/CONS 250G;PC;34809
445492;Suco;SUCO PESSEGO PO C/ADIC ACUC C/CONS 250G;PC;34809
421166;Suco;SUCO EM PO FRUTAS VMS;PC;34809
419509;Suco;SUCO EM PO LARANJA 250G;PC;34809
438206;Suco;SUCO CONC ABACAXI;PC;34809
438207;Suco;SUCO CONC ACEROLA;PC;34809
438208;Suco;SUCO CONC GOIABA;PC;34809
438209;Suco;SUCO CONC LARANJA;PC;34809
438210;Suco;SUCO CONC LIMAO;PC;34809
438211;Suco;SUCO CONC TANGERINA;PC;34809
438212;Suco;SUCO CONC UVA;PC;34809
401000;Estocável;FILTRO DE PAPEL PARA CAFE 103;CX;34812
415582;Estocável;FEIJAO BC 500g;KG;34809
415585;Estocável;VINAGRE ALCOOL COLORIDO FR 0,750ML;PC;34809
415586;Estocável;MOLHO SHOYU FR;PC;34809
415592;Estocável;SAL GROSSO 1 KG;KG;34809
415607;Estocável;ACHOCOLATADO EM PO 1KG;KG;34812
415644;Estocável;MASSA P/ LASANHA FRESCA;KG;34809
415651;Estocável;SOJA EM GRAO;KG;34809
415653;Estocável;AZEITONA S/ CAROCO TRAD;KG;34809
415657;Estocável;COCO SECO RALADO;KG;34809
415658;Estocável;CHOCOLATE GANULADO;KG;34809
415660;Estocável;ACAFRAO EM PO;KG;34809
415662;Estocável;AMIDO MILHO EM PO;KG;34809
415663;Estocável;FARINHA DE ROSCA 1 KG;KG;34809
416524;Estocável;LEITE INTEGRAL UHT 1L - TAMPA ABRE FACIL;PC;34809
416533;Estocável;BATATA EM FLOCOS 1KG;PAC;34809
416534;Estocável;BATATA PALHA 500G;KG;34809
416538;Estocável;BOMBOM CHOCOLATE PT;PAC;34809
416539;Estocável;BOMBOM CHOCOLATE BC;PAC;34809
416545;Estocável;MILHO P/ CANJICA 500G;PAC;34809
416547;Estocável;TEMPERO COLORAU 1KG;PAC;34809
416551;Estocável;CREME LEITE 200ML CX 27UN;CX;34809
416555;Estocável;ERVILHA 2KG LATA;PC;34809
416557;Estocável;EXTRATO TOMATE LT 2KG;PC;34809
416558;Estocável;FARINHA MANDIOCA 500G;PAC;34809
416559;Estocável;FARINHA MILHO 1KG (FLOCADA);PAC;34809
416560;Estocável;FARINHA TRIGO 1KG;PAC;34809
416561;Estocável;FEIJAO PT TIPO 1 1KG;KG;34809
416562;Estocável;FARINHA FUBA 500G;PAC;34809
416569;Estocável;GRAO BICO 500G;PAC;34809
416571;Estocável;TEMPERO LOURO 100G;PAC;34809
416574;Estocável;MANJERICAO SECO 500G;PAC;34809
416577;Estocável;MILHO VD 2KG;PC;34809
416578;Estocável;MOLHO BRANCO BECHAMEL 500G;PAC;34809
416579;Estocável;MOSTARDA 3.100KG;PC;34809
416582;Estocável;TEMPERO OREGANO 0.250G;PAC;34809
416584;Estocável;PROTEINA TEXT SOJA 500G;PAC;34809
416586;Estocável;PUDIM CHOCOLATE 510G;PAC;34809
416587;Estocável;PUDIM COCO 510G;PAC;34809
416589;Estocável;TRIGO P/ KIBE 500G;PAC;34809
